/Users/cuing/Desktop/pytorch-cifar100/.venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Using device: mps
Training Epoch: 1 [19968/50000]	Loss: 4.3288	LR: 0.039642
Training Epoch: 1 [20096/50000]	Loss: 4.2774	LR: 0.039898
Training Epoch: 1 [20224/50000]	Loss: 4.2614	LR: 0.040153
Training Epoch: 1 [20352/50000]	Loss: 4.3044	LR: 0.040409
Training Epoch: 1 [20480/50000]	Loss: 4.2842	LR: 0.040665
Training Epoch: 1 [20608/50000]	Loss: 4.2080	LR: 0.040921
Training Epoch: 1 [20736/50000]	Loss: 4.3298	LR: 0.041176
Training Epoch: 1 [20864/50000]	Loss: 4.3493	LR: 0.041432
Training Epoch: 1 [20992/50000]	Loss: 4.3241	LR: 0.041688
Training Epoch: 1 [21120/50000]	Loss: 4.3144	LR: 0.041944
Training Epoch: 1 [21248/50000]	Loss: 4.3462	LR: 0.042199
Training Epoch: 1 [21376/50000]	Loss: 4.1888	LR: 0.042455
Training Epoch: 1 [21504/50000]	Loss: 4.1257	LR: 0.042711
Training Epoch: 1 [21632/50000]	Loss: 4.3125	LR: 0.042967
Training Epoch: 1 [21760/50000]	Loss: 4.3293	LR: 0.043223
Training Epoch: 1 [21888/50000]	Loss: 4.1193	LR: 0.043478
Training Epoch: 1 [22016/50000]	Loss: 4.2998	LR: 0.043734
Training Epoch: 1 [22144/50000]	Loss: 4.1979	LR: 0.043990
Training Epoch: 1 [22272/50000]	Loss: 4.1458	LR: 0.044246
Training Epoch: 1 [22400/50000]	Loss: 4.3014	LR: 0.044501
Training Epoch: 1 [22528/50000]	Loss: 4.3304	LR: 0.044757
Training Epoch: 1 [22656/50000]	Loss: 4.2574	LR: 0.045013
Training Epoch: 1 [22784/50000]	Loss: 4.2228	LR: 0.045269
Training Epoch: 1 [22912/50000]	Loss: 4.1318	LR: 0.045524
Training Epoch: 1 [23040/50000]	Loss: 4.4161	LR: 0.045780
Training Epoch: 1 [23168/50000]	Loss: 4.2814	LR: 0.046036
Training Epoch: 1 [23296/50000]	Loss: 4.2100	LR: 0.046292
Training Epoch: 1 [23424/50000]	Loss: 4.3013	LR: 0.046547
Training Epoch: 1 [23552/50000]	Loss: 4.2515	LR: 0.046803
Training Epoch: 1 [23680/50000]	Loss: 4.1025	LR: 0.047059
Training Epoch: 1 [23808/50000]	Loss: 4.3520	LR: 0.047315
Training Epoch: 1 [23936/50000]	Loss: 4.2818	LR: 0.047570
Training Epoch: 1 [24064/50000]	Loss: 4.2289	LR: 0.047826
Training Epoch: 1 [24192/50000]	Loss: 4.3936	LR: 0.048082
Training Epoch: 1 [24320/50000]	Loss: 4.0932	LR: 0.048338
Training Epoch: 1 [24448/50000]	Loss: 4.2284	LR: 0.048593
Training Epoch: 1 [24576/50000]	Loss: 4.2110	LR: 0.048849
Training Epoch: 1 [24704/50000]	Loss: 4.2708	LR: 0.049105
Training Epoch: 1 [24832/50000]	Loss: 4.1906	LR: 0.049361
Training Epoch: 1 [24960/50000]	Loss: 4.2576	LR: 0.049616
Training Epoch: 1 [25088/50000]	Loss: 4.2967	LR: 0.049872
Training Epoch: 1 [25216/50000]	Loss: 4.1593	LR: 0.050128
Training Epoch: 1 [25344/50000]	Loss: 4.3104	LR: 0.050384
Training Epoch: 1 [25472/50000]	Loss: 4.1431	LR: 0.050639
Training Epoch: 1 [25600/50000]	Loss: 4.2070	LR: 0.050895
Training Epoch: 1 [25728/50000]	Loss: 4.1585	LR: 0.051151
Training Epoch: 1 [25856/50000]	Loss: 4.2340	LR: 0.051407
Training Epoch: 1 [25984/50000]	Loss: 4.1793	LR: 0.051662
Training Epoch: 1 [26112/50000]	Loss: 4.2096	LR: 0.051918
Training Epoch: 1 [26240/50000]	Loss: 4.2421	LR: 0.052174
Training Epoch: 1 [26368/50000]	Loss: 4.2110	LR: 0.052430
Training Epoch: 1 [26496/50000]	Loss: 4.1009	LR: 0.052685
Training Epoch: 1 [26624/50000]	Loss: 4.1721	LR: 0.052941
Training Epoch: 1 [26752/50000]	Loss: 4.1515	LR: 0.053197
Training Epoch: 1 [26880/50000]	Loss: 4.3732	LR: 0.053453
Training Epoch: 1 [27008/50000]	Loss: 4.1963	LR: 0.053708
Training Epoch: 1 [27136/50000]	Loss: 4.2511	LR: 0.053964
Training Epoch: 1 [27264/50000]	Loss: 4.2785	LR: 0.054220
Training Epoch: 1 [27392/50000]	Loss: 4.2398	LR: 0.054476
Training Epoch: 1 [27520/50000]	Loss: 4.2432	LR: 0.054731
Training Epoch: 1 [27648/50000]	Loss: 4.3079	LR: 0.054987
Training Epoch: 1 [27776/50000]	Loss: 4.2665	LR: 0.055243
Training Epoch: 1 [27904/50000]	Loss: 4.1829	LR: 0.055499
Training Epoch: 1 [28032/50000]	Loss: 4.2076	LR: 0.055754
Training Epoch: 1 [28160/50000]	Loss: 4.3571	LR: 0.056010
Training Epoch: 1 [28288/50000]	Loss: 4.2935	LR: 0.056266
Training Epoch: 1 [28416/50000]	Loss: 4.2313	LR: 0.056522
Training Epoch: 1 [28544/50000]	Loss: 4.2219	LR: 0.056777
Training Epoch: 1 [28672/50000]	Loss: 4.1438	LR: 0.057033
Training Epoch: 1 [28800/50000]	Loss: 4.0809	LR: 0.057289
Training Epoch: 1 [28928/50000]	Loss: 4.2950	LR: 0.057545
Training Epoch: 1 [29056/50000]	Loss: 4.3884	LR: 0.057801
Training Epoch: 1 [29184/50000]	Loss: 4.2144	LR: 0.058056
Training Epoch: 1 [29312/50000]	Loss: 4.3120	LR: 0.058312
Training Epoch: 1 [29440/50000]	Loss: 4.2207	LR: 0.058568
Training Epoch: 1 [29568/50000]	Loss: 4.1896	LR: 0.058824
Training Epoch: 1 [29696/50000]	Loss: 4.2475	LR: 0.059079
Training Epoch: 1 [29824/50000]	Loss: 4.2157	LR: 0.059335
Training Epoch: 1 [29952/50000]	Loss: 4.2119	LR: 0.059591
Training Epoch: 1 [30080/50000]	Loss: 4.2703	LR: 0.059847
Training Epoch: 1 [30208/50000]	Loss: 4.2214	LR: 0.060102
Training Epoch: 1 [30336/50000]	Loss: 4.2430	LR: 0.060358
Training Epoch: 1 [30464/50000]	Loss: 4.1851	LR: 0.060614
Training Epoch: 1 [30592/50000]	Loss: 4.1637	LR: 0.060870
Training Epoch: 1 [30720/50000]	Loss: 4.1948	LR: 0.061125
Training Epoch: 1 [30848/50000]	Loss: 4.2624	LR: 0.061381
Training Epoch: 1 [30976/50000]	Loss: 4.2057	LR: 0.061637
Training Epoch: 1 [31104/50000]	Loss: 4.2539	LR: 0.061893
Training Epoch: 1 [31232/50000]	Loss: 4.1938	LR: 0.062148
Training Epoch: 1 [31360/50000]	Loss: 4.2071	LR: 0.062404
Training Epoch: 1 [31488/50000]	Loss: 4.1741	LR: 0.062660
Training Epoch: 1 [31616/50000]	Loss: 4.0961	LR: 0.062916
Training Epoch: 1 [31744/50000]	Loss: 4.3244	LR: 0.063171
Training Epoch: 1 [31872/50000]	Loss: 4.0632	LR: 0.063427
Training Epoch: 1 [32000/50000]	Loss: 4.1215	LR: 0.063683
Training Epoch: 1 [32128/50000]	Loss: 4.2006	LR: 0.063939
Training Epoch: 1 [32256/50000]	Loss: 4.2126	LR: 0.064194
Training Epoch: 1 [32384/50000]	Loss: 4.1821	LR: 0.064450
Training Epoch: 1 [32512/50000]	Loss: 4.1119	LR: 0.064706
Training Epoch: 1 [32640/50000]	Loss: 4.0819	LR: 0.064962
Training Epoch: 1 [32768/50000]	Loss: 3.9823	LR: 0.065217
Training Epoch: 1 [32896/50000]	Loss: 4.1735	LR: 0.065473
Training Epoch: 1 [33024/50000]	Loss: 4.0755	LR: 0.065729
Training Epoch: 1 [33152/50000]	Loss: 4.2243	LR: 0.065985
Training Epoch: 1 [33280/50000]	Loss: 4.2384	LR: 0.066240
Training Epoch: 1 [33408/50000]	Loss: 4.1741	LR: 0.066496
Training Epoch: 1 [33536/50000]	Loss: 4.1097	LR: 0.066752
Training Epoch: 1 [33664/50000]	Loss: 4.2134	LR: 0.067008
Training Epoch: 1 [33792/50000]	Loss: 4.2283	LR: 0.067263
Training Epoch: 1 [33920/50000]	Loss: 4.1270	LR: 0.067519
Training Epoch: 1 [34048/50000]	Loss: 4.2620	LR: 0.067775
Training Epoch: 1 [34176/50000]	Loss: 4.1126	LR: 0.068031
Training Epoch: 1 [34304/50000]	Loss: 4.1123	LR: 0.068286
Training Epoch: 1 [34432/50000]	Loss: 4.1497	LR: 0.068542
Training Epoch: 1 [34560/50000]	Loss: 4.1804	LR: 0.068798
Training Epoch: 1 [34688/50000]	Loss: 4.1360	LR: 0.069054
Training Epoch: 1 [34816/50000]	Loss: 3.9980	LR: 0.069309
Training Epoch: 1 [34944/50000]	Loss: 4.0543	LR: 0.069565
Training Epoch: 1 [35072/50000]	Loss: 4.2319	LR: 0.069821
Training Epoch: 1 [35200/50000]	Loss: 4.0322	LR: 0.070077
Training Epoch: 1 [35328/50000]	Loss: 3.9792	LR: 0.070332
Training Epoch: 1 [35456/50000]	Loss: 4.1513	LR: 0.070588
Training Epoch: 1 [35584/50000]	Loss: 4.1951	LR: 0.070844
Training Epoch: 1 [35712/50000]	Loss: 4.4145	LR: 0.071100
Training Epoch: 1 [35840/50000]	Loss: 4.2701	LR: 0.071355
Training Epoch: 1 [35968/50000]	Loss: 4.1169	LR: 0.071611
Training Epoch: 1 [36096/50000]	Loss: 4.0827	LR: 0.071867
Training Epoch: 1 [36224/50000]	Loss: 4.1507	LR: 0.072123
Training Epoch: 1 [36352/50000]	Loss: 4.2155	LR: 0.072379
Training Epoch: 1 [36480/50000]	Loss: 4.2628	LR: 0.072634
Training Epoch: 1 [36608/50000]	Loss: 4.2179	LR: 0.072890
Training Epoch: 1 [36736/50000]	Loss: 4.2137	LR: 0.073146
Training Epoch: 1 [36864/50000]	Loss: 4.2491	LR: 0.073402
Training Epoch: 1 [36992/50000]	Loss: 4.3324	LR: 0.073657
Training Epoch: 1 [37120/50000]	Loss: 4.0754	LR: 0.073913
Training Epoch: 1 [37248/50000]	Loss: 4.0346	LR: 0.074169
Training Epoch: 1 [37376/50000]	Loss: 4.1474	LR: 0.074425
Training Epoch: 1 [37504/50000]	Loss: 4.2497	LR: 0.074680
Training Epoch: 1 [37632/50000]	Loss: 4.0484	LR: 0.074936
Training Epoch: 1 [37760/50000]	Loss: 4.0135	LR: 0.075192
Training Epoch: 1 [37888/50000]	Loss: 4.0772	LR: 0.075448
Training Epoch: 1 [38016/50000]	Loss: 4.3414	LR: 0.075703
Training Epoch: 1 [38144/50000]	Loss: 4.1433	LR: 0.075959
Training Epoch: 1 [38272/50000]	Loss: 4.1139	LR: 0.076215
Training Epoch: 1 [38400/50000]	Loss: 4.1971	LR: 0.076471
Training Epoch: 1 [38528/50000]	Loss: 4.2276	LR: 0.076726
Training Epoch: 1 [38656/50000]	Loss: 4.1724	LR: 0.076982
Training Epoch: 1 [38784/50000]	Loss: 4.1974	LR: 0.077238
Training Epoch: 1 [38912/50000]	Loss: 4.1234	LR: 0.077494
Training Epoch: 1 [39040/50000]	Loss: 4.1253	LR: 0.077749
Training Epoch: 1 [39168/50000]	Loss: 4.0898	LR: 0.078005
Training Epoch: 1 [39296/50000]	Loss: 4.2379	LR: 0.078261
Training Epoch: 1 [39424/50000]	Loss: 4.0629	LR: 0.078517
Training Epoch: 1 [39552/50000]	Loss: 4.2248	LR: 0.078772
Training Epoch: 1 [39680/50000]	Loss: 4.2597	LR: 0.079028
Training Epoch: 1 [39808/50000]	Loss: 4.1359	LR: 0.079284
Training Epoch: 1 [39936/50000]	Loss: 4.0976	LR: 0.079540
Training Epoch: 1 [40064/50000]	Loss: 4.0767	LR: 0.079795
Training Epoch: 1 [40192/50000]	Loss: 4.0944	LR: 0.080051
Training Epoch: 1 [40320/50000]	Loss: 4.1841	LR: 0.080307
Training Epoch: 1 [40448/50000]	Loss: 4.0302	LR: 0.080563
Training Epoch: 1 [40576/50000]	Loss: 4.2828	LR: 0.080818
Training Epoch: 1 [40704/50000]	Loss: 4.2879	LR: 0.081074
Training Epoch: 1 [40832/50000]	Loss: 4.1977	LR: 0.081330
Training Epoch: 1 [40960/50000]	Loss: 4.0832	LR: 0.081586
Training Epoch: 1 [41088/50000]	Loss: 4.1165	LR: 0.081841
Training Epoch: 1 [41216/50000]	Loss: 4.0116	LR: 0.082097
Training Epoch: 1 [41344/50000]	Loss: 4.0264	LR: 0.082353
Training Epoch: 1 [41472/50000]	Loss: 4.3441	LR: 0.082609
Training Epoch: 1 [41600/50000]	Loss: 4.2206	LR: 0.082864
Training Epoch: 1 [41728/50000]	Loss: 4.1143	LR: 0.083120
Training Epoch: 1 [41856/50000]	Loss: 4.1449	LR: 0.083376
Training Epoch: 1 [41984/50000]	Loss: 4.2419	LR: 0.083632
Training Epoch: 1 [42112/50000]	Loss: 4.3153	LR: 0.083887
Training Epoch: 1 [42240/50000]	Loss: 4.1145	LR: 0.084143
Training Epoch: 1 [42368/50000]	Loss: 4.3402	LR: 0.084399
Training Epoch: 1 [42496/50000]	Loss: 4.2317	LR: 0.084655
Training Epoch: 1 [42624/50000]	Loss: 4.1840	LR: 0.084910
Training Epoch: 1 [42752/50000]	Loss: 4.0307	LR: 0.085166
